created_at,order_number,sku,total_order_price,discount_code
2020-11-17 08:42:59+00:00,9074,PM038,70,
2020-11-17 08:42:59+00:00,9074,PM056,70,
2020-11-17 08:42:44+00:00,9073,TP00064,68,
2020-11-17 08:42:44+00:00,9073,PM591,68,
2020-11-17 08:42:44+00:00,9073,LUBMONO1,68,
2020-11-17 08:42:44+00:00,9073,PM592,68,
2020-11-17 08:42:41+00:00,9072,PM515,23,
2020-11-17 08:42:41+00:00,9072,LUBMONO1,23,
2020-11-17 08:42:41+00:00,9072,TP00073,23,
2020-11-17 08:42:16+00:00,9071,LUBMONO1,39,
2020-11-17 08:42:16+00:00,9071,PM056,39,
2020-11-17 08:42:11+00:00,9070,73PM423,172,
2020-11-17 08:42:11+00:00,9070,73PM316,172,
2020-11-17 08:42:11+00:00,9070,REGALITOS3,172,
2020-11-17 08:42:11+00:00,9070,TP00253,172,
2020-11-17 08:42:11+00:00,9070,732PM110-01,172,
2020-11-17 08:42:11+00:00,9070,732PM152-01,172,
2020-11-17 08:42:11+00:00,9070,TP00102,172,
2020-11-17 08:42:11+00:00,9070,TP00259,172,
2020-11-17 08:42:11+00:00,9070,LUBMONO1,172,
2020-11-17 08:42:11+00:00,9070,PM037,172,
2020-11-17 08:41:55+00:00,9069,LUBMONO1,29,
2020-11-17 08:41:55+00:00,9069,PM591,29,
2020-11-17 08:41:53+00:00,9068,LUBMONO1,70,
2020-11-17 08:41:53+00:00,9068,PM036,70,
2020-11-17 08:41:46+00:00,9067,REGALITOS1,67,3TI65H
2020-11-17 08:41:46+00:00,9067,TP00403,67,3TI65H
2020-11-17 08:41:46+00:00,9067,LUBMONO1,67,3TI65H
2020-11-17 08:41:46+00:00,9067,TP00381,67,3TI65H
2020-11-17 08:41:46+00:00,9067,LUB100,67,3TI65H
2020-11-17 08:41:46+00:00,9067,PM516,67,3TI65H
2020-11-17 08:41:17+00:00,9066,LUBMONO1,28,GIRQJ6
2020-11-17 08:41:17+00:00,9066,TP00261,28,GIRQJ6
2020-11-17 08:40:02+00:00,9065,LUBMONO1,44,
2020-11-17 08:40:02+00:00,9065,TP00078,44,
2020-11-17 08:40:02+00:00,9065,PM027,44,
2020-11-17 08:39:56+00:00,9064,LUBMONO1,38,
2020-11-17 08:39:56+00:00,9064,PM036,38,
2020-11-17 08:39:45+00:00,9063,LUBMONO1,56,
2020-11-17 08:39:45+00:00,9063,PM053,56,
2020-11-17 08:39:45+00:00,9063,TP00264,56,
2020-11-17 08:38:51+00:00,9062,LUBMONO1,39,
2020-11-17 08:38:51+00:00,9062,PM037,39,
